"nid","parent_nid","name","serial","type","latitude","longitude","status"
"18","0","Provinsi Nusa Tenggara Barat","52","1","-8.6529334","117.3616476","1"
"1553","18","Kabupaten Lombok Barat","5201","2","-8.6464599","116.1123078","1"
"1554","18","Kabupaten Lombok Tengah","5202","2","-8.694623","116.2777073","1"
"1555","18","Kabupaten Lombok Timur","5203","2","-8.5134471","116.5609857","1"
"1556","18","Kabupaten Sumbawa","5204","2","-8.6529334","117.3616476","1"
"1557","18","Kabupaten Dompu","5205","2","-8.4966318","118.4747173","1"
"1558","18","Kabupaten Bima","5206","2","-8.460566","118.727402","1"
"1559","18","Kabupaten Sumbawa Barat","5207","2","-8.9292907","116.8910342","1"
"1560","18","Kota Mataram","5271","2","-8.5833333","116.1166667","1"
"1561","18","Kota Bima","5272","2","-8.460566","118.727402","1"
"1769","18","Kabupaten Lombok Utara","5208","2","-8.3739076","116.2777073","1"
