"nid","parent_nid","name","serial","type","latitude","longitude","status"
"19","0","Provinsi Nusa Tenggara Timur","53","1","-8.6573819","121.0793705","1"
"1562","19","Kabupaten Sumba Barat","5312","2","-9.6548326","119.3947135","1"
"1563","19","Kabupaten Sumba Timur","5311","2","-9.9802103","120.3435506","1"
"1564","19","Kabupaten Kupang","5301","2","-10.1833333","123.5833333","1"
"1565","19","Kabupaten Timor Tengah Selatan","5302","2","-9.7762816","124.4198243","1"
"1566","19","Kabupaten Timor Tengah Utara","5303","2","-9.4522647","124.597132","1"
"1567","19","Kabupaten Belu","5304","2","-9.4125796","124.9506625","1"
"1568","19","Kabupaten Alor","5305","2","-8.2754027","124.7298765","1"
"1569","19","Kabupaten Lembata","5313","2","-8.4719075","123.4831906","1"
"1570","19","Kabupaten Flores Timur","5306","2","-8.3130942","122.9663018","1"
"1571","19","Kabupaten Sikka","5307","2","-8.6766175","122.1291843","1"
"1572","19","Kabupaten Ende","5308","2","-8.854053","121.654198","1"
"1573","19","Kabupaten Ngada","5309","2","-8.7430424","120.9876321","1"
"1574","19","Kabupaten Manggarai","5310","2","-8.6796987","120.3896651","1"
"1575","19","Kabupaten Rote Ndao","5314","2","-10.7386421","123.1239049","1"
"1576","19","Kabupaten Manggarai Barat","5315","2","-8.6688149","120.0665236","1"
"1577","19","Kabupaten Sumba Tengah","5317","2","-9.4879226","119.6962677","1"
"1578","19","Kabupaten Sumba Barat Daya","5318","2","-9.539139","119.1390642","1"
"1579","19","Kabupaten Nagekeo","5316","2","-8.6753545","121.3084088","1"
"1580","19","Kabupaten Manggarai Timur","5319","2","-8.6206712","120.6199895","1"
"1581","19","Kota Kupang","5371","2","-10.1833333","123.5833333","1"
"1770","19","Kabupaten Sabu Raijua","5302","2","-10.5541116","121.8334868","1"

