"nid","parent_nid","name","serial","type","latitude","longitude","status"
"30","0","Provinsi Maluku","81","1","-3.2384616","130.1452734","1"
"31","0","Provinsi Maluku Utara","82","1","1.5709993","127.8087693","1"
"1706","30","Kabupaten Maluku Tenggara Barat","8103","2","-7.5322642","131.3611121","1"
"1707","30","Kabupaten Maluku Tenggara","8102","2","-5.7512455","132.7271587","1"
"1708","30","Kabupaten Maluku Tengah","8101","2","-3.0166501","129.4864411","1"
"1709","30","Kabupaten Buru Selatan","8109","2","-3.3927754","126.7819505","1"
"1710","30","Kabupaten Kepulauan Aru","8107","2","-6.1946502","134.5501935","1"
"1711","30","Kabupaten Seram Bagian Barat","8106","2","-3.1271575","128.4008357","1"
"1712","30","Kabupaten Seram Bagian Timur","8105","2","-3.4150761","130.390488","1"
"1713","30","Kota Ambon","8171","2","-3.65607","128.166419","1"
"1714","30","KotaTual","8172","2","-5.640851","132.7475093","1"
"1715","31","Kabupaten Halmahera Barat","8201","2","1.3121235","128.4849923","1"
"1716","31","Kabupaten Halmahera Tengah","8202","2","1.3121235","128.4849923","1"
"1717","31","Kabupaten Kepulauan Sula","8205","2","-1.8666667","125.3666667","1"
"1718","31","Kabupaten Halmahera Selatan","8204","2","1.3121235","128.4849923","1"
"1719","31","Kabupaten Halmahera Utara","8203","2","1.3121235","128.4849923","1"
"1720","31","Kabupaten Halmahera Timur","8206","2","1.3121235","128.4849923","1"
"1721","31","Kota Ternate","8271","2","0.7833333","127.3666667","1"
"1722","31","Kota Tidore Kepulauan","8272","2","0.6833333","127.4","1"
"1723","32","Kabupaten Fakfak","9203","2","-2.885237","132.2658282","1"
"1775","30","Kabupaten Maluku Barat Daya","8108","2","-7.7851588","126.3498097","1"
"1776","30","Kabupaten Buru","8104","2","-3.3927754","126.7819505","1"
"1778","31","Kabupaten Pulau Morota","8207","2","2.3656672","128.4008357","1"
