"nid","parent_nid","name","serial","type","latitude","longitude","status"
"17","0","Provinsi Bali","51","1","-8.4095178","115.188916","1"
"1544","17","Kabupaten Jembrana","5101","2","-8.363621716701378","114.6294897427886","1"
"1545","17","Kabupaten Tabanan","5102","2","-8.544516","115.119797","1"
"1546","17","Kabupaten Badung","5103","2","-8.5819296","115.1770586","1"
"1547","17","Kabupaten Gianyar","5104","2","-8.544185","115.3255","1"
"1548","17","Kabupaten Klungkung","5105","2","-8.5389222","115.4045111","1"
"1549","17","Kabupaten Bangli","5106","2","-8.454303","115.354897","1"
"1550","17","Kabupaten Karang Asem","5107","2","-8.37486981821384","115.54662681339279","1"
"1551","17","Kabupaten Buleleng","5108","2","-8.113831","115.126999","1"
"1552","17","Kota Denpasar","5171","2","-8.65629","115.222099","1"
