"nid","parent_nid","name","serial","type","latitude","longitude","status"
"11","0","Provinsi DKI Jakarta","31","1","-6.211544","106.845172","1"
"12","0","Provinsi Jawa Barat","32","1","-7.090911","107.668887","1"
"13","0","Provinsi Jawa Tengah","33","1","-7.150975","110.1402594","1"
"14","0","Provinsi DI Yogyakarta","34","1","-7.8753849","110.4262088","1"
"15","0","Provinsi Jawa Timur","35","1","-7.5360639","112.2384017","1"
"16","0","Provinsi Banten","36","1","-6.4058172","106.0640179","1"
"562","74","Kota Tangerang Selatan","0","2","-6.2888889","106.7180556","1"
"821","15","Kabupaten Banyuwangi","1501","2","-8.2186111","114.3669444","1"
"823","15","Kabupaten Madiun","1502","2","-7.627753","111.505483","1"
"824","15","Kabupaten Ponorogo","1503","2","-7.867827","111.466003","1"
"825","15","Kabupaten Magetan","1504","2","-7.6493413","111.3381593","1"
"826","15","Kabupaten Pacitan","1505","2","-8.204614","111.08769","1"
"827","15","Kabupaten Ngawi","1506","2","-7.38993","111.46193","1"
"828","15","Kabupaten Bangkalan","1507","2","-7.0306912","112.7450068","1"
"829","15","Kabupaten Kediri","1508","2","-7.809356","112.032356","1"
"830","15","Kabupaten Bondowoso","1509","2","-7.917704","113.813483","1"
"831","15","Kabupaten Blitar","1510","2","-8.1014419","112.162762","1"
"832","15","Kabupaten Trenggalek","1511","2","-8.05","111.7166667","1"
"833","15","Kabupaten Tulungagung","1512","2","-8.0666667","111.9","1"
"834","15","Kabupaten Nganjuk","1513","2","-7.602932","111.901808","1"
"835","15","Kabupaten Situbondo","1514","2","-7.702534","113.955605","1"
"836","15","Kabupaten Malang","1515","2","-8.0495643","112.6884549","1"
"837","15","Kabupaten Jember","1516","2","-8.172357","113.700302","1"
"838","15","Kabupaten Sumenep","1517","2","-6.9253999","113.9060624","1"
"839","15","Kabupaten Pasuruan","1518","2","-6.8623098","108.8001936","1"
"840","15","Kabupaten Pamekasan","1519","2","-7.1666667","113.4666667","1"
"841","15","Kabupaten Probolinggo","1520","2","-7.753965","113.210675","1"
"842","15","Kabupaten Lumajang","1521","2","-8.137022","113.226601","1"
"843","15","Kabupaten Bojonegoro","1522","2","-7.248242579161326","111.6559687241409","1"
"844","15","Kabupaten Tuban","1523","2","-6.894691742043614","112.0413291977912","1"
"845","15","Kabupaten Lamongan","1524","2","-7.406153","109.3946794","1"
"846","15","Kabupaten Sidoarjo","1525","2","-7.4530278","112.7173389","1"
"847","15","Kabupaten Sampang","1526","2","-7.5782556","109.2058436","1"
"848","15","Kabupaten Mojokerto","1527","2","-7.488075","112.427027","1"
"849","15","Kabupaten Gresik","1528","2","-7.15665","112.6555","1"
"850","15","Kabupaten Jombang","1529","2","-7.5468395","112.2264794","1"
"851","15","Kota Mojokerto","1530","2","-7.4722222","112.4336111","1"
"852","15","Kota Surabaya","1531","2","-7.289166","112.734398","1"
"853","15","Kota Madiun","1532","2","-7.629714","111.513702","1"
"854","15","Kota Blitar","1533","2","-8.1","112.15","1"
"855","15","Kota Malang","1534","2","-7.981894","112.626503","1"
"856","15","Kota Batu","1535","2","-7.8671","112.5239","1"
"857","15","Kota Pasuruan","1536","2","-7.644872","112.903297","1"
"858","15","Kota Kediri","1537","2","-7.816895","112.011398","1"
"859","15","Kota Probolinggo","1538","2","-7.756928","113.211502","1"
"1466","11","Kota Jakarta Selatan","3174","2","-6.332973","106.807915","1"
"1467","11","Kota Jakarta Timur","3175","2","-6.211544","106.845172","1"
"1468","11","Kota Jakarta Pusat","3171","2","-6.211544","106.845172","1"
"1469","11","Kota Jakarta Barat","3173","2","-6.211544","106.845172","1"
"1470","11","Kota Jakarta Utara","3172","2","-6.211544","106.845172","1"
"1471","12","Kabupaten Bogor","3201","2","-6.6","106.8","1"
"1472","12","Kabupaten Sukabumi","3202","2","-6.92405","106.922203","1"
"1473","12","Kabupaten Cianjur","3203","2","-6.8172531","107.1307289","1"
"1474","12","Kabupaten Bandung","3204","2","-6.9147444","107.6098111","1"
"1475","12","Kabupaten Garut","3205","2","-7.227906","107.908699","1"
"1476","12","Kabupaten Tasikmalaya","3206","2","-7.327954","108.214104","1"
"1477","12","Kabupaten Ciamis","3207","2","-7.3333333","108.35","1"
"1478","12","Kabupaten Kuningan","3208","2","-6.9833333","108.4833333","1"
"1479","12","Kabupaten Cirebon","3209","2","-6.715534","108.564003","1"
"1480","12","Kabupaten Majalengka","3210","2","-6.8531026","108.2258897","1"
"1481","12","Kabupaten Sumedang","3211","2","-6.812591939288456","107.96675384642843","1"
"1482","12","Kabupaten Indramayu","3212","2","-6.336315","108.325104","1"
"1483","12","Kabupaten Subang","3213","2","-6.569361","107.752403","1"
"1484","12","Kabupaten Purwakarta","3214","2","-6.5386806","107.4499404","1"
"1485","12","Kabupaten Karawang","3215","2","-6.3227303","107.3375791","1"
"1486","12","Kabupaten Bekasi","3216","2","-6.2333333","107","1"
"1487","12","Kabupaten Bandung Barat","3217","2","-6.8937121","107.4321959","1"
"1488","12","Kota Bogor","3271","2","-6.6","106.8","1"
"1489","12","Kota Sukabumi","3272","2","-6.92405","106.922203","1"
"1490","12","Kota Bandung","3273","2","-6.9147444","107.6098111","1"
"1491","12","Kota Cirebon","3274","2","-6.715534","108.564003","1"
"1492","12","Kota Bekasi","3275","2","-6.2333333","107","1"
"1493","12","Kota Depok","3276","2","-6.39","106.83","1"
"1494","12","Kota Cimahi","3277","2","-6.880239","107.5355","1"
"1495","12","Kota Tasikmalaya","3278","2","-7.327954","108.214104","1"
"1496","12","Kota Banjar","3279","2","-7.3666667","108.5333333","1"
"1497","13","Kabupaten Cilacap","3301","2","-7.733333","109","1"
"1498","13","Kabupaten Banyumas","3302","2","-7.4832133","109.140438","1"
"1499","13","Kabupaten Purbalingga","3303","2","-7.390747","109.3638","1"
"1500","13","Kabupaten Banjarnegara","3304","2","-7.402706","109.681396","1"
"1501","13","Kabupaten Kebumen","3305","2","-7.678682","109.656502","1"
"1502","13","Kabupaten Purworejo","3306","2","-7.709731","110.008003","1"
"1503","13","Kabupaten Wonosobo","3307","2","-7.362109","109.899399","1"
"1504","13","Kabupaten Magelang","3308","2","-7.481253","110.213799","1"
"1505","13","Kabupaten Boyolali","3309","2","-7.523819","110.595901","1"
"1506","13","Kabupaten Klaten","3310","2","-7.711687","110.595497","1"
"1507","13","Kabupaten Sukoharjo","3311","2","-7.6808818","110.8195292","1"
"1508","13","Kabupaten Wonogiri","3312","2","-7.817782","110.920601","1"
"1509","13","Kabupaten Karanganyar","3313","2","-7.5961111","110.9508333","1"
"1510","13","Kabupaten Sragen","3314","2","-7.430229","111.021301","1"
"1511","13","Kabupaten Grobogan","3315","2","-7.0217194","110.9625854","1"
"1512","13","Kabupaten Blora","3316","2","-6.95","111.4166667","1"
"1513","13","Kabupaten Rembang","3317","2","-6.71124","111.345299","1"
"1514","13","Kabupaten Pati","3318","2","-6.751338","111.038002","1"
"1515","13","Kabupaten Kudus","3319","2","-6.804087","110.838203","1"
"1516","13","Kabupaten Jepara","3320","2","-6.5596059","110.6717","1"
"1517","13","Kabupaten Demak","3321","2","-6.888115","110.639297","1"
"1518","13","Kabupaten Semarang","3322","2","-6.9666667","110.4166667","1"
"1519","13","Kabupaten Temanggung","3323","2","-7.316669","110.174797","1"
"1520","13","Kabupaten Kendal","3324","2","-6.919686","110.205597","1"
"1521","13","Kabupaten Batang","3325","2","-6.8941111","109.7234519","1"
"1522","13","Kabupaten Pekalongan","3326","2","-6.882887","109.669998","1"
"1523","13","Kabupaten Pemalang","3327","2","-6.884234","109.377998","1"
"1524","13","Kabupaten Tegal","3328","2","-6.8666667","109.1333333","1"
"1525","13","Kabupaten Brebes","3329","2","-6.8833333","109.05","1"
"1526","13","Kota Magelang","3371","2","-7.481253","110.213799","1"
"1527","13","Kota Surakarta","3372","2","-7.5666667","110.8166667","1"
"1528","13","Kota Salatiga","3373","2","-7.302328","110.4729","1"
"1529","13","Kota Semarang","3374","2","-6.9666667","110.4166667","1"
"1530","13","Kota Pekalongan","3375","2","-6.882887","109.669998","1"
"1531","13","Kota Tegal","3376","2","-6.8666667","109.1333333","1"
"1532","14","Kabupaten Kulon Progo","3401","2","-7.8266798","110.1640846","1"
"1533","14","Kabupaten Bantul","3402","2","-7.8846111","110.3341111","1"
"1534","14","Kabupaten Gunung Kidul","3403","2","-8.0305091","110.6168921","1"
"1536","14","Kota Yogyakarta","3471","2","-7.797224","110.368797","1"
"1537","16","Kabupaten Pandeglang","3601","2","-6.314835","106.103897","1"
"1538","16","Kabupaten Lebak","3602","2","-6.5643956","106.2522143","1"
"1539","16","Kabupaten Tangerang","3603","2","-6.1783056","106.6318889","1"
"1540","16","Kabupaten Serang","3604","2","-6.12009","106.150299","1"
"1541","16","Kota Tangerang","3671","2","-6.1783056","106.6318889","1"
"1542","16","Kota Cilegon","3672","2","-6.0169825","106.040506","1"
"1543","16","Kota Serang","3673","2","-6.12009","106.150299","1"
"1465","11","Kabupaten Kepulauan Seribu","3101","2","-5.7985266","106.5071982","1"
"1767","14","Kabupaten Sleman","3404","2","-7.716165","110.335403","1"
"1768","16","Kota Tangerang Selatan","3674","2","-6.2888889","106.7180556","1"

