"nid","parent_nid","name","serial","type","latitude","longitude","status"
"20","0","Provinsi Kalimantan Barat","61","1","-0.2787808","111.4752851","1"
"21","0","Provinsi Kalimantan Tengah","62","1","-1.6814878","113.3823545","1"
"22","0","Provinsi Kalimantan Selatan","63","1","-3.0926415","115.2837585","1"
"23","0","Provinsi Kalimantan Timur","64","1","1.6406296","116.419389","1"
"1582","20","Kabupaten Sambas","6101","2","1.361328","109.309998","1"
"1583","20","Kabupaten Bengkayang","6107","2","0.8209729","109.477699","1"
"1584","20","Kabupaten Landak","6108","2","0.4237287","109.7591675","1"
"1585","20","Kabupaten Pontianak","6102","2","-0.022523","109.330307","1"
"1586","20","Kabupaten Sanggau","6103","2","0.119275","110.597298","1"
"1587","20","Kabupaten Ketapang","6104","2","-1.859098","109.971901","1"
"1588","20","Kabupaten Sintang","6105","2","0.080238","111.495499","1"
"1589","20","Kabupaten Kapuas Hulu","6106","2","-0.7931004","113.9060624","1"
"1590","20","Kabupaten Sekadau","6109","2","0.015637","110.888603","1"
"1591","20","Kabupaten Melawi","6110","2","-0.7000681","111.6660725","1"
"1592","20","Kabupaten Kayong Utara","6111","2","-0.9225877","110.0449662","1"
"1593","20","Kabupaten Kubu Raya","6112","2","-0.3533938","109.4735066","1"
"1594","20","Kota Pontianak","6171","2","-0.022523","109.330307","1"
"1595","20","Kota Singkawang","6172","2","0.908795","108.984596","1"
"1596","21","Kabupaten Kotawaringin Barat","6201","2","-2.4271009477920233","111.67194048828453","1"
"1597","21","Kabupaten Kotawaringin Timur","6202","2","-1.9007855871384434","112.73234617383156","1"
"1598","21","Kabupaten Kapuas","6203","2","-0.0459972","110.1313251","1"
"1599","21","Kabupaten Barito Selatan","6204","2","-1.875943","114.8092691","1"
"1600","21","Kabupaten Barito Utara","6205","2","-0.9587136","115.094045","1"
"1601","21","Kabupaten Sukamara","6208","2","-2.6267517","111.2368084","1"
"1602","21","Kabupaten Lamandau","6209","2","-1.9269166","111.1891151","1"
"1603","21","Kabupaten Seruyan","6207","2","-3.0123467","112.4291464","1"
"1604","21","Kabupaten Katingan","6206","2","-0.9758379","112.8105512","1"
"1605","21","Kabupaten Pulang Pisau","6211","2","-2.6849607","113.9536466","1"
"1606","21","Kabupaten Gunung Mas","6210","2","-0.977290926363178","113.49790062369136","1"
"1607","21","Kabupaten Barito Timur","6213","2","-2.0123999","115.188916","1"
"1608","21","Kabupaten Murung Raya","6212","2","-0.1362171","114.3341432","1"
"1609","21","Kota Palangka Raya","6271","2","-2.21","113.92","1"
"1610","22","Kabupaten Tanah Laut","6301","2","-3.7694047","114.8092691","1"
"1611","22","Kabupaten Kota Baru","6302","2","-2.872792609602816","115.93758638780878","1"
"1612","22","Kabupaten Banjar","6303","2","-3.3642622333585206","115.06172542281716","1"
"1613","22","Kabupaten Barito Kuala","6304","2","-3.0714738","114.6667939","1"
"1614","22","Kabupaten Tapin","6305","2","-2.9160746","115.0465991","1"
"1615","22","Kabupaten Hulu Sungai Selatan","6306","2","-2.7662681","115.2363408","1"
"1616","22","Kabupaten Hulu Sungai Tengah","6307","2","-2.6153162","115.5207358","1"
"1617","22","Kabupaten Hulu Sungai Utara","6308","2","-2.4421225","115.188916","1"
"1618","22","Kabupaten Tabalong","6309","2","-1.864302","115.5681084","1"
"1619","22","Kabupaten Tanah Bumbu","6310","2","-3.4512244","115.5681084","1"
"1620","22","Kabupaten Balangan","6311","2","-2.3260425","115.6154732","1"
"1621","22","Kota Banjarmasin","6371","2","-3.328499","114.589203","1"
"1622","22","Kota Banjar Baru","6372","2","-3.4666667","114.75","1"
"1623","23","Kabupaten Paser","6401","2","-1.7175266","115.9467997","1"
"1624","23","Kabupaten Kutai Barat","6407","2","0.1353881","115.094045","1"
"1625","23","Kabupaten Kutai Kartanegara","6402","2","-0.1336655","116.6081653","1"
"1626","23","Kabupaten Kutai Timur","6408","2","0.9433774","116.9852422","1"
"1627","23","Kabupaten Berau","6403","2","2.0450883","117.3616476","1"
"1628","23","Kabupaten Malinau","6406","2","3.584221","116.647797","1"
"1629","23","Kabupaten Bulungan","6404","2","2.9042476","116.9852422","1"
"1630","23","Kabupaten Nunukan","6405","2","4.0609227","117.666952","1"
"1631","23","Kabupaten Penajam Paser Utara","6409","2","-1.2917094","116.5137964","1"
"1632","23","Kabupaten Tana Tidung","6410","2","3.551869","117.0794082","1"
"1633","23","Kota Balikpapan","6471","2","-1.2635389","116.8278833","1"
"1634","23","Kota Samarinda","6472","2","-0.502183","117.153801","1"
"1635","23","Kota Tarakan","6473","2","3.3","117.6333333","1"
"1636","23","Kota Bontang","6474","2","0.1333333","117.5","1"
