"nid","parent_nid","name","serial","type","latitude","longitude","status"
"32","0","Provinsi Papua Barat","91","1","-1.3361154","133.1747162","1"
"33","0","Provinsi Papua","94","1","-4.269928","138.0803529","1"
"1724","32","Kabupaten Kaimana","9208","2","-3.660925","133.774506","1"
"1725","32","Kabupaten Teluk Wondama","9207","2","-2.8551699","134.3236557","1"
"1726","32","Kabupaten Teluk Bintuni","9206","2","-1.9056848","133.329466","1"
"1727","32","Kabupaten Manokwari","9202","2","-0.8614531","134.0620421","1"
"1728","32","Kabupaten Sorong Selatan","9204","2","-0.8666667","131.25","1"
"1729","32","Kota Sorong","9271","2","-0.8666667","131.25","1"
"1730","32","Kabupaten Raja Ampat","9205","2","-1.0915151","130.8778586","1"
"1731","32","Kabupaten Sorong","9201","2","-0.8666667","131.25","1"
"1732","33","Kabupaten Merauke","9101","2","-8.4960406","140.3945527","1"
"1733","33","Kabupaten Jayawijaya","9102","2","-4.0004481","138.7995122","1"
"1734","33","Kabupaten Jayapura","9103","2","-2.533","140.717","1"
"1735","33","Kabupaten Nabire","9104","2","-3.5095462","135.7520985","1"
"1736","33","Kabupaten Kepulauan Yapen","9105","2","-1.7469359","136.1709012","1"
"1737","33","Kabupaten Biak Numfor","9106","2","-1.0381022","135.9800848","1"
"1738","33","Kabupaten Paniai","9108","2","-3.7876441","136.3624686","1"
"1739","33","Kabupaten Puncak Jaya","9107","2","-4.0836111","137.1847222","1"
"1740","33","Kabupaten Mimika","9109","2","-4.4553223","137.1362125","1"
"1741","33","Kabupaten Boven Digoel","9116","2","-5.7400018","140.3481835","1"
"1742","33","Kabupaten Mappi","9117","2","-7.102232","139.396393","1"
"1743","33","Kabupaten Asmat","9118","2","-5.0573958","138.3988186","1"
"1744","33","Kabupaten Yahukimo","9113","2","-4.4939717","139.5279996","1"
"1745","33","Kabupaten Pegunungan Bintang","9112","2","-4.5589872","140.5135589","1"
"1746","33","Kabupaten Tolikara","9114","2","-3.481132","138.4787258","1"
"1747","33","Kabupaten Sarmi","9110","2","-1.868727","138.743607","1"
"1748","33","Kabupaten Keerom","9111","2","-3.3449536","140.7624493","1"
"1749","33","Kabupaten Waropen","9115","2","-2.8435717","136.670534","1"
"1750","33","Kabupaten Supiori","9119","2","-0.7295099","135.6385125","1"
"1751","33","Kabupaten Mamberamo Raya","9120","2","-2.5331255","137.7637565","1"
"1752","33","Kota Jayapura","9171","2","-2.533","140.717","1"
"1789","32","Kabupaten Tambrauw","9209","2","-0.781856","132.3938375","1"
"1790","32","Kabupaten Maybat","9210","2","-1.2740321941444281","132.309380563628","1"
"1791","33","Kabupaten Memberamo Tengah","9121","2","-2.3745692","138.3190276","1"
"1792","33","Kabupaten Yalimo","9122","2","-3.7852847","139.4466005","1"
"1793","33","Kabupaten Lanny Jaya","9123","2","-3.971033","138.3190276","1"
"1794","33","Kabupaten Nduga","9124","2","-4.4069496","138.2393528","1"
"1795","33","Kabupaten Puncak","9125","2","-3.525478924807599","137.28625729056571","1"
"1796","33","Kabupaten Dogiyai","9126","2","-4.0193872","135.9610446","1"
"1797","33","Kabupaten Intan Jaya","9127","2","-3.5076422","136.7478493","1"
"1798","33","Kabupaten Deiyai","9128","2","-4.0974893","136.4393054","1"
