"nid","parent_nid","name","serial","type","latitude","longitude","status"
"24","0","Provinsi Sulawesi Utara","71","1","0.6246932","123.9750018","1"
"25","0","Provinsi Sulawesi Tengah","72","1","-1.4300254","121.4456179","1"
"26","0","Provinsi Sulawesi Selatan","73","1","-3.6687994","119.9740534","1"
"27","0","Provinsi Sulawesi Tenggara","74","1","-4.14491","122.174605","1"
"28","0","Provinsi Gorontalo","75","1","0.6999372","122.4467238","1"
"29","0","Provinsi Sulawesi Barat","76","1","-2.8441371","119.2320784","1"

"1637","24","Kabupaten Bolaang Mongondow","7101","2","0.6870994","124.0641419","1"
"1638","24","Kabupaten Minahasa","7102","2","1","124.5833333","1"
"1639","24","Kabupaten Kepulauan Sangihe","7103","2","3.5303212","125.5438967","1"
"1640","24","Kabupaten Kepulauan Talaud","7104","2","4.092","126.768","1"
"1641","24","Kabupaten Minahasa Selatan","7105","2","1.0946773","124.4641848","1"
"1642","24","Kabupaten Minahasa Utara","7106","2","1.5327973","124.994751","1"
"1643","24","Kabupaten Bolaang Mongondow Utara","7108","2","0.818691","123.5280072","1"
"1644","24","Kabupaten Siau Tagulandang Biaro","7109","2","2.345964","125.4124355","1"
"1645","24","Kabupaten Minahasa Tenggara","7107","2","1.0278551","124.7298765","1"
"1646","24","Kota Manado","7171","2","1.4917014","124.842843","1"
"1647","24","Kota Bitung","7172","2","1.4553529","125.204697","1"
"1648","24","Kota Tomohon","7173","2","1.3234131","124.8384504","1"
"1649","24","Kota Kotamobagu","7174","2","0.7333333","124.3166667","1"
"1650","25","Kabupaten Banggai Kepulauan","7207","2","-1.6408137","123.5504076","1"
"1651","25","Kabupaten Banggai","7201","2","-1.6408137","123.5504076","1"
"1652","25","Kabupaten Morowali","7206","2","-2.3003072","121.5370003","1"
"1653","25","Kabupaten Poso","7202","2","-1.391922","120.766998","1"
"1654","25","Kabupaten Donggala","7203","2","-0.4233155","119.8352303","1"
"1655","25","Kabupaten Toli-Toli","7204","2","0.8768231","120.7579834","1"
"1656","25","Kabupaten Buol","7205","2","0.9695452","121.3541631","1"
"1657","25","Kabupaten Parigi Moutong","7208","2","0.5817607","120.8039474","1"
"1658","25","Kabupaten Tojo Una-Una","7209","2","-1.098757","121.5370003","1"
"1659","25","Kota Palu","7271","2","-0.898583","119.850601","1"
"1660","26","Kabupaten Selayar","7301","2","-6","120.5","1"
"1661","26","Kabupaten Bulukumba","7302","2","-5.4329368","120.2051096","1"
"1662","26","Kabupaten Bantaeng","7303","2","-5.5169316","120.0202964","1"
"1663","26","Kabupaten Jeneponto","7304","2","-5.554579","119.6730939","1"
"1664","26","Kabupaten Takalar","7305","2","-5.4162493","119.4875668","1"
"1665","26","Kabupaten Gowa","7306","2","-5.3102888","119.742604","1"
"1666","26","Kabupaten Sinjai","7307","2","-5.2171961","120.112735","1"
"1667","26","Kabupaten Maros","7309","2","-4.94695","119.578903","1"
"1668","26","Kabupaten Pangkajene Dan Kepulauan","7310","2","-4.805035","119.5571677","1"
"1669","26","Kabupaten Barru","7311","2","-4.4172651","119.6730939","1"
"1670","26","Kabupaten Bone","7308","2","-2.083333","120.216667","1"
"1671","26","Kabupaten Soppeng","7312","2","-4.3518541","119.9277947","1"
"1672","26","Kabupaten Wajo","7313","2","-4.022229","120.0665236","1"
"1673","26","Kabupaten Sidenreng Rappang","7314","2","-3.7738981","120.0202964","1"
"1674","26","Kabupaten Pinrang","7315","2","-3.793071","119.6408","1"
"1675","26","Kabupaten Enrekang","7316","2","-3.563128","119.7612","1"
"1676","26","Kabupaten Luwu","7317","2","-3.3052214","120.2512728","1"
"1677","26","Kabupaten Tana Toraja","7318","2","-3.0753003","119.742604","1"
"1678","26","Kabupaten Luwu Utara","7322","2","-2.2690446","119.9740534","1"
"1679","26","Kabupaten Luwu Timur","7324","2","-2.5825518","121.1710389","1"
"1680","26","Kota Makassar","7371","2","-5.1333333","119.4166667","1"
"1681","26","Kota Pare-Pare","7372","2","-4.0166667","119.6236111","1"
"1682","26","Kota Palopo","7373","2","-3","120.2","1"
"1683","27","Kabupaten Buton","7404","2","-5.3096355","122.9888319","1"
"1684","27","Kabupaten Muna","7403","2","-4.901629","122.6277455","1"
"1685","27","Kabupaten Konawe","7402","2","-3.9380432","122.0837445","1"
"1686","27","Kabupaten Kolaka","7401","2","-4.049665","121.593803","1"
"1687","27","Kabupaten Konawe Selatan","7405","2","-4.2027915","122.4467238","1"
"1688","27","Kabupaten Bombana","7406","2","-4.6543462","121.9017954","1"
"1689","27","Kabupaten Wakatobi","7407","2","-5.3264442","123.5951925","1"
"1690","27","Kabupaten Kolaka Utara","7408","2","-3.1347227","121.1710389","1"
"1691","27","Kabupaten Buton Utara","7410","2","-4.7023424","123.0338767","1"
"1692","27","Kabupaten Konawe Utara","7409","2","-3.3803291","122.0837445","1"
"1693","27","Kota Kendari","7471","2","-3.972201","122.5149028","1"
"1694","27","Kota Bau-Bau","7472","2","-5.46667","122.633","1"
"1695","28","Kabupaten Boalemo","7502","2","0.7013419","122.2653887","1"
"1696","28","Kabupaten Gorontalo","7501","2","0.5333333","123.0666667","1"
"1697","28","Kabupaten Pohuwato","7504","2","0.7055278","121.7195459","1"
"1698","28","Kabupaten Bone Bolango","7503","2","0.5657885","123.3486147","1"
"1699","28","Kabupaten Gorontalo Utara","7505","2","0.9252647","122.4920088","1"
