"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1","0","Provinsi Aceh","11","1","4.695135","96.7493993","1"
"2","0","Provinsi Sumatera Utara","12","1","2.1153547","99.5450974","1"
"3","0","Provinsi Sumatera Barat","13","1","-0.7399397","100.8000051","1"
"4","0","Provinsi Riau","14","1","0.2933469","101.7068294","1"
"5","0","Provinsi Jambi","15","1","-1.4851831","102.4380581","1"
"6","0","Provinsi Sumatera Selatan","16","1","-3.3194374","103.914399","1"
"7","0","Provinsi Bengkulu","17","1","-3.5778471","102.3463875","1"
"8","0","Provinsi Lampung","18","1","-4.5585849","105.4068079","1"
"9","0","Provinsi Kepulauan Bangka Belitung","19","1","-2.7410513","106.4405872","1"
"10","0","Provinsi Kepulauan Riau","21","1","3.9456514","108.1428669","1"
"925","5","Kabupaten Batanghari","501","2","-1.7083922","103.0817903","1"
"926","5","Kabupaten Bungo","502","2","-1.6401338","101.8891721","1"
"927","5","Kabupaten Kerinci","503","2","-1.8720467","101.4339148","1"
"928","5","Kabupaten Merangin","504","2","-2.1752789","101.9804613","1"
"929","5","Kabupaten Muaro Jambi","505","2","-1.596672","103.615799","1"
"930","5","Kabupaten Sarolangun","506","2","-2.2654937","102.6905326","1"
"931","5","Kabupaten Tanjung Jabung Barat","507","2","-1.2332122","103.7984428","1"
"932","5","Kabupaten Tanjung Jabung Timur","508","2","-1.3291599","103.89973","1"
"933","5","Kabupaten Tebo","509","2","-1.2592999","102.3463875","1"
"934","5","Kota Jambi","510","2","-1.596672","103.615799","1"
"935","5","Kota Sungai Penuh","511","2","-2.06314","101.387199","1"
"1326","1","Kabupaten Simeulue","1109","2","2.583333","96.083333","1"
"1327","1","Kabupaten Aceh Singkil","1102","2","2.3589459","97.87216","1"
"1328","1","Kabupaten Aceh Selatan","1101","2","3.3115056","97.3516558","1"
"1329","1","Kabupaten Aceh Tenggara","1102","2","3.3088666","97.6982272","1"
"1330","1","Kabupaten Aceh Timur","1103","2","5.255443","95.9885456","1"
